Price,district,Area,Address,Number of bedrooms,Number of bathrooms,New_content,Floor,NumOfConvient,district_encoded
3400000000.0,Quận 8,110.0,"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8.",4.0,3.0,"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8. Giá 3.4tỷ Nhà chính chủ, đẹp lung linh. Chỉ cần xách vali vào ở. Diện tích sàn sử dụng 105m. Thiết kế Trệt 2Lầu sân thượng Diện tích 37m2. Ngang 4.2m x 9m. Nhà xây dựng kiên cố. Thiết kế Trệt 2lầu Sân thượng. 4PN, 3WC. Hẻm taxi tận cửa Sổ hồng hoàn công đầy đủ. Cách mặt đường 20m. Giá 3.4tỷ. Bớt lộc, Cần bán gấp. Có bớt cho khách mua nhanh. An tâm tuyệt đối vì được hỗ trợ pháp lý đầy đủ khi mua bán. Liên hệ 0906 072 039. Bé Bảo. Trung Tâm mua bán ký gửi nhà đất các Quận",3,0,19
9390000000.0,Bình Thạnh,80.0,"BÌNH THẠNH , HCM",5.0,5.0,"BÁN NHÀ BÌNH THẠNH 80M2 - 5PN 5WC - DÒNG TIỀN 18TR/THÁNG DT 4m 20m 2m 80m2 Giá 9,39 tỷ thương lượng Hẻm nhựa hơn 4m xe hơi tránh, quay đầu thoải mái, thông tứ tung. Khu dân trí cao, an ninh, yên tĩnh, camera 2424. Kết cấu 1 trệt 1 lầu BTCT kiên cố. Gồm 5PN, 5WC, bếp, ban công, sân thượng. Nhà đang cho thuê khoán 18 triệu tháng. Pháp lý chuẩn, hoàn công đầy đủ, sổ vuông đẹp, công chứng ngay. NOO.QN.PMI",2,0,1
8300000000.000001,Quận 9,80.0,"Đường Trường Lưu, Phường Long Trường, Q9",4.0,5.0,"Cần bán gấp nhà 1 trệt 2 lầu 80m2 5x16, đường 30m, sổ hồng hoàn công, giá chỉ 8 tỷ 3 Thương lượng, Lh: 0388668882 gặp Tâm ( zalo ) Cần bán gấp, giảm giá mạnh 10 tỷ nay giảm còn 8,3 tỷ TL mạnh Bán nhà mặt tiền đường 30m Nằm trong quần thể khu dân cư Centana Điền Phúc Thành, Long Trường, Quận 9. Đối diện Sông là chung cư MT EasmarkCity đang xây dựng. Diện tích 80m2 5x16 Hướng Đông. Kiến trúc 1 trệt 2 lầu, 1 tum. Công năng 1 phòng khách, 1 phòng bếp, 4PN, 5WC... Thiết kế hiện đại, sạch sẽ thoáng mát. Địa chỉ Đường Trường Lưu, Phường Long TRường, Q9 LH 0388668882 gặp Tâm zalo xem nhà",3,1,20
3350000000.0,Tân Phú,50.0,"Trường Chinh, Tây Thạnh, Tân Phú, Hồ Chí Minh, -Dự án-",2.0,2.0,"BÁN NHÀ 2 TẦNG RẺ NHẤT TÂN PHÚ,5.2Mx9.6M, KẾ CỘNG HOÀ, HXH, SHR, CHỈ 3.35TỶ Mô tả Vị trí Trung tâm quận Tân Phú, trên mặt đường Trường Chinh, gần Chế Lan Viên, Cộng Hoà, Tân Kỳ Tân Quý, Tân Sơn Nhì. Kết cấu Nhà 2 tầng, 2PN, 2WC, thiết bị điện nước mới tinh, máy năng lượng mặt trời mới lắp, máy lạnh xịn, chủ tặng hết nội thất, nhà mới đẹp xách vali vào ở thôi . Tiện ich Vài bước ra đường Trường Chinh, cách sân bay Tân Sơn Nhất 10 phút, trung tâm Quận 1 chỉ 15 phút. Pháp lý chuẩn, SHR.",2,0,23
9900000000.0,Gò Vấp,94.0,Bùi Quang Là,3.0,4.0,"Nhà Phường 12 Gò Vấp sát mặt tiền, hẻm 6m, sổ A4 , 94m2 3 tầng, 9.9 tỷ MS 32923 Vị trí nhà hẻm 1 sẹc đường Bùi Quang Là, phường 12, Gò Vấp, sát mặt tiền. Diện tích 94m2, hình sổ vuông thành sắc cạnh, đầy đủ công năng sử dụng. Kết cấu BTCT, 3 tầng, 3 phòng ngủ, 4WC, sân thượng, xe hơi ngủ trong nhà Nhà có diện tích lớn nên các phòng được thiết kế rộng rãi. Đường trước nhà 6m. Hàng xóm thân thiện, dân trí. Sổ hồng riêng, không quy hoạch.",3,1,5
2950000000.0,Tân Phú,36.0,"Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú",2.0,2.0,"Nhà mới đẹp, đối diện Aeon Mall và gần chợ Sơn Kỳ, 2.95 tỷ Nhà mới đẹp nằm đối diện Aeon Tân Phú, đi bộ ra công viên và Chợ Sơn Kỳ chỉ 2 phút, tiện ích dịch vụ xung quanh đầy đủ. Nhà kết cấu 1 trệt 1 lầu, gồm 2 phòng ngủ, 2 toilet. Nhà có chỗ để thờ cúng, ban công thoáng mát. Gia đình để lại nội thất trong nhà. Sổ chuẩn vuông đẹp, pháp lý rõ ràng. Liên hệ anh Võ 0909 100 817. Không tiếp trung gian.",2,1,23
5100000000.0,Quận 3,60.0,Thành phố Hồ Chí Minh,3.0,2.0,"Gấp bán GIẢM 1,3 TỶ - Nhà QUẬN 3 – 60m2 - NGANG 5M – Chỉ 5.x tỷ Mô tả Diện tích 60 m2, ngang 4.8m dài 10m, nở hậu 9m. Nhà 1 trệt 1 lầu, có 3 phòng ngủ. Hẻm rộng thoáng, sạch sẽ, an ninh. 50m ra mặt tiền Cách mạng tháng 8, kế bên Công An phường, gần trường Mầm non, trường cấp 123, tiện ích xung quanh không thiếu thứ gì Pháp lý sạch, công chứng ngay. Thiện chí alo em Hiền gặp chính chủ thương lượng, miễn trung gian.",2,1,14
3350000000.0,Thủ Đức,35.0,Đường số 16 Phường Hiệp Bình Chánh - TP.Thủ Đức,2.0,2.0,"NHÀ BÁN 2 TẦNG - HIỆP BÌNH CHÁNH - NGAY GẦN SÔNG SG + VÒNG XOAY BÌNH TRIỆU CẦN BÁN GẤP NHÀ 2 TẦNG SHR HOÀN CÔNG, giá nhỉnh 3tỷ Vị trí ngay gần sông SG Cầu Bình Triệu Vòng xoay Bình Triệu 1 bước qua bình thạnh sân bay tân sơn nhất. KHU VỰC CỰC HIẾM NHÀ BÁN Diện tích 4.8 X 7. Tổng diện tích 33m2. Công nhận đủ Sổ hồng riêng hoàn công Nhà thông thoáng 25m ra đường số 16 HBC Diện tích 4.8m X 7m. Giá chỉ 3ty350 TL Lhe em Hiếu 247 để có thông tin chi tiết và xem nhà thực tế",2,0,21
4300000000.0,Quận 7,50.0,Thành phố Hồ Chí Minh,4.0,3.0,"Quận 7 Thông số cực đẹp 4x13m - cách 1 căn ra Ô TÔ Mô tả Nhà đẹp lung linh, thiết kế hiện đại khách dọn vào ở ngay. Xây 3 tầng BTCT kiên cố, tổng 4 phòng ngủ. Nhà cách hẻm Ô TÔ đỗ chỉ vài bước chân, khu vực dân cư sầm uất đầy đủ tiện ích. Vị trí sát bên KDC Nam Long, gần Nhà thi đấu đa năng Quận 7, trường cấp 123, Trung cấp nghề Nguyễn Hữu Cảnh..., Bệnh viện Quận 7 Thiện chí alo em Hiền gặp chính chủ thương lượng, miễn trung gian.",3,1,18
4700000000.0,Gò Vấp,50.0,Phạm Văn Chiêu,3.0,2.0,"Bán nhà hẻm 4m Phạm Văn Chiêu Phường 14 Gò Vấp, 50m2 2 tầng chỉ 4.7 tỷ MS 31723 Vị trí gần Nguyễn Văn Khối, trường Tiểu học An Hội, THCS Phạm Văn Chiêu. Thuận tiện đi vào các quận Tân Bình, Tân Phú, 11, 12, v.v. Diện tích 50m2 công nhận đủ, xây dụng full diện tích, hình sổ vuông vức. Nhà gồm 1 trệt, 1 lầu, 3 phòng ngủ có phòng ngủ tầng trệt, 2WC. Đường trước nhà 4m, thông. Pháp lý sạch sẽ, công chứng ngay.",2,0,5
